,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
zhangzhou,ki⁴⁴,pʰĩ²²,tai²²,bai¹³,,pui¹³,tsui⁵³,,ti¹³,,tse²²,ke⁴⁴,pue⁴⁴,te²²,pʰu¹³,gu¹³,tsʰiu⁵³,tsʰiu²²,kɔ⁴⁴,ɔ⁴⁴,gɔ²²,bɔŋ²²,,hɔ²²,tsʰu²¹,to⁴⁴,,,bɛ⁵³,,,ua²²,sua⁴⁴,ɡua⁵³,tua²²,tua²¹,tsua¹³,kʰia¹³,gua²²,te⁵³,tse²²,,,tʰau¹³,,lui¹³,ba¹³,tsa⁵³,tsʰio²¹,him¹³,tsap¹²¹,,liam¹³,lĩ⁵³,tʰe⁴⁴,am²¹,sã⁴⁴,,aʔ³²,sit¹²¹,,bin²²,tsʰit³²,dzit¹²¹,piŋ⁴⁴,sin¹³,tit¹²¹,,pan⁵³,tsʰat¹²¹,kin⁴⁴,kʰit³²,kan⁴⁴,pan⁵³,peʔ³²,,lĩ¹³,tʰiʔ³²,tsiʔ¹²¹,hueʔ³²,tsun¹³,tsʰut³²,,kut³²,kut¹²¹,suĩ⁴⁴,luĩ²²,puĩ²²,tʰut³²,,ɡueʔ¹²¹,kuã⁴⁴,suã²¹,suaʔ³²,tsuaʔ¹²¹,,tuã²²,,puã²¹,baŋ²²,bak¹²¹,liɔŋ¹³,,tik³²,tsik³²,,pʰaŋ⁴⁴,,taŋ¹³,,taŋ²²,,kak³²,lak¹²¹,tŋ¹³,lɔ̃²²,soʔ³²,,,iɔ̃¹³,tsʰiɔ²²,tsioʔ¹²¹,hioʔ¹²¹,,,tsɛ̃⁵³,pɛʔ¹²¹,biã¹³,tiã⁵³,,huã¹³,ĩ¹³
datian,ki³³,pʰi³¹,tɛ⁵⁵,bɛ²⁴,,pui²⁴,tsi⁵³,,tʰui²⁴,,tse³³,ki³³,pue³³,tiɔ⁵⁵,pʰu²⁴,gu²⁴,tsʰu⁵³,tsʰu³¹,ku³³,u³³,gu⁵⁵,bu³¹,,hu⁵⁵,tsʰu³¹,tɤ³³,mŋ²⁴,,ba⁵³,,,bua³³,sua³³,bua⁵³,tua³³,tua³¹,tsua²⁴,kʰi²⁴,,tue⁵³,tse⁵⁵,,,tʰɔ²⁴,,lui²⁴,mã³³,tsa⁵³,tsʰɤ³¹,heŋ²⁴,tsaʔ⁵,,,niŋ⁵³,,aŋ³¹,sã³³,,a³¹,seʔ⁵,,beŋ³¹,tsʰeʔ³,leʔ⁵,peŋ³³,seŋ²⁴,teʔ⁵,,paŋ⁵³,tsʰaʔ⁵,keŋ³³,kʰeʔ³,kiŋ³³,piŋ⁵⁵,pe³¹,,niŋ²⁴,tʰi³¹,sua⁵⁵,hue³¹,tsueŋ²⁴,tsʰoʔ³,,koʔ³,koʔ⁵,suŋ³³,nuŋ⁵⁵,pŋ³³,tʰoʔ³,,bue⁵⁵,kuã³³,suã³¹,saʔ³,tsua⁵⁵,,tuã⁵⁵,,puã³¹,baŋ³¹,baʔ⁵,loŋ²⁴,,toʔ³,tsɤ⁵⁵,,pʰaŋ³³,,taŋ²⁴,,taŋ⁵⁵,,kaʔ³,laʔ⁵,tŋ²⁴,nŋ⁵³,sɤ³¹,,,ziŋ²⁴,tsŋ⁵⁵,tsɤ⁵⁵,liɤ⁵⁵,,,tsã⁵³,pa⁵⁵,miã²⁴,tiã⁵³,,huã²⁴,mŋ²⁴
jieyang,ki³³,pʰĩ²²,,bai⁵⁵,,pui⁵⁵,tsui⁴²,,tɯ²²,,tsoi²²,koi³³,pue³³,tiu³⁵,pʰu⁵⁵,gu⁵⁵,tsʰiu⁴²,tsʰiu²²,kou³³,ou³³,ŋou³⁵,mo³⁵,,hou³⁵,tsʰu²¹³,to³³,mo⁵⁵,,be⁴²,,,ue²²,sua³³,ua⁴²,tua²²,tua²¹³,tsua⁵⁵,kʰia⁵⁵,gua²²,to⁴²,tso³⁵,,,tʰau⁵⁵,,lui⁵⁵,,tsa⁴²,tsʰio²¹³,him⁵⁵,tsap⁵,,niam⁵⁵,ni⁴²,tʰoi³³,am²¹³,sã³³,,aʔ²,sek⁵,,meŋ²²,tsʰek²,zek⁵,piã³³,seŋ⁵⁵,tek⁵,,pãi⁴²,tsʰak⁵,keŋ³³,kʰek²,kãi³³,pãi⁴²,poiʔ²,,ni⁵⁵,tʰiʔ²,tsiʔ⁵,hueʔ²,tsuŋ⁵⁵,tsʰuk²,,kuk²,kuk⁵,sɯŋ³³,nɯŋ³⁵,puŋ²²,tʰuk²,,ɡueʔ⁵,kuã³³,,suaʔ²,tsuaʔ⁵,,tuã³⁵,,puã²¹³,maŋ²²,mak⁵,leŋ⁵⁵,,tek²,tsek²,nek⁵,pʰaŋ³³,,taŋ⁵⁵,,taŋ³⁵,,kak²,lek⁵,tɯŋ⁵⁵,no³⁵,soʔ²,,,iõ⁵⁵,tsiõ³⁵,tsioʔ⁵,hioʔ⁵,,,tsẽ⁴²,peʔ⁵,miã⁵⁵,tiã⁴²,,huẽ⁵⁵,ĩ⁵⁵
chaoyang,ki²¹,pʰĩ³²,,bai³³,,pui³³,tsui⁴⁵,,tu³³,,tsoi³²,koi²¹,pue²¹,tiu⁵²,pʰu³³,gu³³,tsʰiu⁴⁵,tsʰiu³²,kou²¹,ou²¹,ŋou⁵²,mo⁵²,,hou⁵²,tsʰu⁴¹,to²¹,mo³³,,be⁴⁵,,,ue³²,sua²¹,ua⁴⁵,tua³²,tua⁴¹,tsua³³,kʰia³³,gua³²,to⁴⁵,tso⁵²,,,tʰau³³,,lui³³,,tsa⁴⁵,tsʰio⁴¹,him³³,tsap⁵,,liam³³,ni⁴⁵,tʰoi²¹,am⁴¹,sã²¹,,aʔ²,sik⁵,,miŋ³²,tsʰik²,zik⁵,piã²¹,siŋ³³,tik⁵,,põi⁴⁵,tsʰak⁵,kiŋ²¹,kʰik²,kõi²¹,pãi⁴⁵,poiʔ²,,ni³³,tʰiʔ²,tsiʔ⁵,hueʔ²,tsuŋ³³,tsʰuk²,,kuk²,huk⁵,sɯŋ²¹,nɯŋ⁵²,pɯŋ³²,tʰuk²,,gueʔ⁵,kuã²¹,,suaʔ²,tsuaʔ⁵,,tuã⁵²,,puã⁴¹,maŋ³²,mak⁵,leŋ³³,,tek²,tsek²,nek⁵,pʰaŋ²¹,,taŋ³³,,taŋ⁵²,,kak²,lak⁵,tɯŋ³³,no⁵²,soʔ²,,,iõ³³,tsiõ⁵²,tsioʔ⁵,hioʔ⁵,,,tsẽ⁴⁵,peʔ⁵,miã³³,tiã⁴⁵,,huẽ³³,ĩ³³
shibei,ki⁵²,pʰi⁴⁵,,me³³,,,ɕy²¹,ɕy⁵²,dy⁴²,,,ko³³,ɦye⁴²,du³³,ɦiu⁴²,niu³³,ɕiu²¹,tɕʰiu⁴⁵,,ʔu⁵²,,,,xy⁵²,,tɔ⁵²,mɔ³³,,ma²¹,dʑia⁴²,,xua⁴⁵,suai⁵²,ɦuai⁴²,tuai⁴⁵,tuai³³,ɦia⁴²,ɡi⁴²,ŋye⁴⁵,to²¹,tsuai⁵²,tiau³³,,tʰəu³³,tsʰɔ²¹,so³³,bau⁴⁵,dzɔ²¹,ɕiau³³,,ɕi⁵²,tseiŋ⁵²,,niŋ²¹,dzaiŋ⁴²,ʔɔŋ³³,saŋ⁵²,taŋ⁵²,ʔa²¹⁴,ɕia⁵²,,miŋ⁴⁵,tɕʰi²¹⁴,ni⁴²,pein',seiŋ³³,te⁵²,,paiŋ²¹,tsʰe⁵²,kyiŋ⁵²,,kaiŋ⁵²,baiŋ²¹,pai²¹⁴,,niŋ³³,tʰie²¹⁴,lye⁴²,xye²¹⁴,ɦyiŋ⁴²,tɕʰy²¹⁴,,ko²¹⁴,xuai⁵²,sueiŋ⁵²,sueiŋ⁵²,pəŋ⁴⁵,tʰo²¹⁴,tɕyiŋ⁵²,ŋye⁴²,xuain',suaiŋ²¹,suai²¹⁴,,tɕyiŋ³³,,muaiŋ²¹,puaiŋ³³,məŋ⁴⁵,mi⁴²,luein³³,tsueiŋ³³,ty²¹⁴,ɕy²¹⁴,ny⁴²,pʰəŋ⁵²,tsʰəŋ⁵²,,nəŋ³³,təŋ⁵²,pu²¹⁴,kɔ²¹⁴,ly⁴²,tɔŋ³³,sɔŋ⁵²,sɔ²¹⁴,,lɔ⁴²,,ɦiɔŋ³³,tɕio⁵²,nio⁴²,tsʰaŋ⁵²,piaŋ³³,tsaŋ²¹,pa⁵²,miaŋ³³,,,xuaŋ³³,
zhenqian,ki⁵²,pʰi⁴⁵,,me⁴⁴,,,ɬui²¹³,ɬy⁵²,ty²¹,,,koi⁴²,ye⁴²,tu⁴²,iu²¹,niu⁴⁴,ɬiu²¹³,tɕʰiu⁴⁵,,u⁵²,ŋu⁴²,,,hy⁴⁵,,to⁵²,mo⁴⁴,,ma²¹³,tɕia²¹,,ua⁴²,ɬua⁵²,ŋua⁴²,tua⁴⁵,tua⁴²,ia⁴²,kʰi²¹,ŋye⁴⁵,toi²¹³,tsuai⁴⁵,tio⁴⁴,,tʰeu⁴⁴,tsʰo²¹³,ɬoi⁴⁴,peu⁴⁵,tso²¹,ɬio⁴²,,tɕi⁴⁵,tsein',,niŋ²¹³,tsaiŋ⁴²,auŋ⁴²,ɬaŋ⁵²,taŋ⁵²,o²¹³,ɬie⁴⁵,,miŋ⁴⁵,tɕʰi²¹³,ni⁴⁴,paiŋ⁵²,,tœ⁴⁵,,paiŋ²¹³,tsʰœ⁴⁵,kyiŋ⁵²,,kaiŋ⁵²,paiŋ²¹,pai²¹³,,niŋ⁴⁴,tʰie²¹³,lye⁴²,huai²¹³,yiŋ²¹,tsʰui²¹³,,koi²¹³,koi⁴²,ɬuiŋ⁵²,ɬuiŋ⁴⁵,poŋ⁴⁵,tʰua²¹³,tɕyiŋ⁵²,ŋye⁴²,huaiŋ⁵²,ɬuaiŋ²¹³,ɬua²¹³,,tɕyiŋ²¹,,muaiŋ²¹³,puaiŋ⁴²,moŋ⁴⁵,mi⁴²,leuŋ⁴⁴,tseuŋ⁴²,ty²¹³,ɬy²¹³,ny⁴²,pʰoŋ⁵²,tsʰoŋ⁵²,,neuŋ⁴⁵,toŋ⁴⁵,pu²¹³,ku²¹³,ɬu⁴⁵,tauŋ⁴⁴,ɬauŋ⁴⁵,ɬo²¹³,,lo⁴²,,ioŋ⁴²,tɕio⁴⁵,nio⁴²,tsʰaŋ⁵²,piaŋ⁴⁴,tsaŋ²¹³,pa⁴⁵,miaŋ⁴⁴,,,huaŋ⁴⁴,
dikou,ki¹³²,pʰi⁵⁵,,mi²¹³,,,ɬy³³,ɬy¹³²,tʰy²¹³,,,koi²²,yɛ⁴¹,ty⁴¹,iu²¹,niu²¹³,ɬiu³³,tsʰiu⁵⁵,,u¹³²,ŋu⁴¹,,,hy²⁴³,,tɔ¹³²,mɔ²¹³,,ma³³,tsʰia²¹,,hua²²²¹³,ɬua¹³²,ŋua⁴¹,tua⁵⁵,tua²²,ia⁴¹,ki²¹,ŋyɛ⁵⁵,toi³³,tsua²⁴³,tiɔ²¹³,,tʰeu²¹³,tsʰɔ³³,ɬoi²¹³,peu⁵⁵,tsɔ²¹,ɬiɔ²²,,ɬi²⁴³,tseiŋ¹³²,,niɛ³³,tsai⁴¹,aŋ²²,ɬa¹³²,ta¹³²,a⁵⁵,ɬia²⁴³,,miɛ⁵⁵,tsʰi⁵⁵,ni⁴¹,pai¹³²,ɬai²¹³,tai²⁴³,,pai³³,tsʰai²⁴³,kyɛ¹³²,,kai¹³²,pai²¹,pai⁵⁵,,niɛ²¹³,tʰiɛ⁵⁵,yɛ⁴¹,huai⁵⁵,yɛ²¹,tsʰy⁵⁵,,koi⁵⁵,koi⁴¹,ɬui¹³²,ɬui²⁴³,pui⁵⁵,tʰoi⁵⁵,tsyɛ¹³²,ŋyɛ⁴¹,huai¹³²,ɬuai³³,ɬua⁵⁵,,tsiɛ²¹³,,muai³³,puai²²,mɔŋ⁵⁵,mui⁴¹,lœyŋ²¹³,tsœyŋ²²,ty⁵⁵,ly³³,ny⁴¹,pʰɔŋ¹³²,tsʰɔŋ¹³²,,nœyŋ⁵⁵,tɔŋ²⁴³,pu⁵⁵,ku⁵⁵,ly⁴¹,taŋ²¹³,liɔ⁴¹,ɬɔ⁵⁵,,lɔ⁴¹,,iɔ⁴¹,tsiɔ²⁴³,niɔ⁴¹,tsʰa¹³²,pia²¹³,tsaŋ³³,pa²⁴³,mia²¹³,,,huaŋ²¹³,
changle,tsie⁴⁴,,,,,pui⁵³,tsui²²,tsy⁴⁴,,,sa³⁴³,kie⁴⁴,pui⁴⁴,,pʰu⁵³,ŋu⁵³,tsʰiu²²,tsʰieu²¹¹,ku⁴⁴,,,muɔ²¹¹,,huɔ³⁴³,tsʰuɔ²¹¹,,,,,sia⁵³,,,,ŋui²²,tuai³⁴³,,sie⁵³,,,tøy²²,,,,tʰau⁵³,,,,,,,,,,,,,,,ak²³,,,,,nik⁵,,siŋ⁵³,tiʔ⁵,,,tsʰɛik⁵,,,,,,,,,siek⁵,haik²³,suŋ⁵³,tsʰouk²³,,,,,lɔuŋ³⁴³,puɔŋ³⁴³,,,,kaŋ⁴⁴,,,,,,,,,møyk⁵,,,tøyk²³,,,pʰuŋ⁴⁴,,,,,pouk²³,,løyk⁵,touŋ⁵³,laŋ³⁴³,,,,,,,luoʔ⁵,tsʰiaŋ⁴⁴,,,,,tiaŋ²²,,,
lianjiang,tsie⁴⁴,,,,,pui⁵²,tsy²³,tsy⁴⁴,,,sɛ²³²,kie⁴⁴,pui⁴⁴,,pʰu⁵²,ŋu⁵²,tsʰiu²³,tsʰiu²¹³,ku⁴⁴,,,muo²¹³,,huo²³²,tsʰuo²¹³,,,,,sia⁵²,,,,ŋuai²³,tuai²³²,,sie⁵²,,,tøy²³,,,,tʰau⁵²,,,,,,,,,,,,,,,aʔ¹²,,,,,niʔ⁵,,siŋ⁵²,tiʔ⁵,,,tsʰeiʔ⁵,,,,,,,,,sieʔ⁵,heiʔ¹²,suŋ⁵²,tsʰuʔ¹²,,,,,louŋ²³²,puoŋ²³²,,,,kaŋ⁴⁴,,,,,,,,,møyʔ⁵,,,tyʔ¹²,,,pʰuŋ⁴⁴,,,,,poʔ¹²,,løyʔ⁵,touŋ⁵²,laŋ²³²,,,,,,,nyoʔ⁵,tsʰiaŋ⁴⁴,,,,,tiaŋ²³,,,
pingtan,tsie⁵³,,,,,pui⁴⁴,tsui⁴²³,tsy⁵³,,,sɛ³¹,kie⁵³,pui⁵³,,pʰu⁴⁴,ŋu⁴⁴,tsʰiu⁴²³,tsʰiɛu²¹,ku⁵³,,,muɔ²¹,,huɔ³¹,tsʰuɔ²¹,,,,,sia⁴⁴,,,,ŋua⁴²³,tua³¹,,sia⁴⁴,,,toi⁴²³,,,,tʰau⁴⁴,,,,,,,,,,,,,,,aʔ¹,,,,,niʔ⁵,,siŋ⁴⁴,tiʔ⁵,,,tsʰeʔ⁵,,,,,,,,,sieʔ⁵,hɛʔ¹,suŋ⁴⁴,tsʰoʔ¹,,,,,lɔŋ³¹,puɔŋ³¹,,,,kaŋ⁵³,,,,,,,,,møʔ⁵,,,tøʔ¹,,,pʰuŋ⁵³,,,,,poʔ¹,,løyʔ⁵,toŋ⁴⁴,laŋ³¹,,,,,,,nyoʔ⁵,tsʰaŋ⁵³,,,,,tiaŋ⁴²³,,,
yongtai,tsie⁴⁴,,,,,puoi⁵³,tsuoi³¹,tsy⁴⁴,,,,kie⁴⁴,pui⁴⁴,,pʰu⁵³,ŋu⁵³,tsʰiu³¹,tsʰiɛu²¹²,ku⁴⁴,,,muo²¹²,,huo²⁴²,tsʰuɔ²¹²,,,,,sia⁵³ / tsʰia²⁴²,,,,ŋuoi³¹,tuai²⁴²,,sie⁵³,,,tuoi³¹,,,,tʰau⁵³,,,,,,,,,,,,,,,aʔ³,,,,,niʔ⁵,,siŋ⁵³,tiʔ⁵,,,tsʰeiʔ⁵,,,,,,,,,sieʔ⁵,heiʔ³,suŋ⁵³,tsʰuʔ³,,,,,lɔuŋ²⁴²,puoŋ²⁴²,,,,kaŋ⁴⁴,,,,,,,,,meiʔ⁵,,,tyʔ³,,,pʰuŋ⁴⁴,,,,,puʔ³,,løyʔ⁵,touŋ⁵³,laŋ²⁴²,,,,,,,nuoʔ⁵,tsʰiaŋ⁴⁴,,,,,tiaŋ³¹,,,
minqing,tsie⁴⁴,,,,,puoi⁴²,tsuoi³¹,tsy⁴⁴,,,sɛ²⁴²,kie⁴⁴,pui⁴⁴,,pʰu⁴²,ŋu⁴²,tsʰiu³¹,tsʰiu²¹,ku⁴⁴,,,nuɔ²¹,,huo²⁴²,tsʰuɔ²¹,,,,,sia⁴²,,,,ŋuai³¹,tuai²⁴²,,sie⁴²,,,toi³¹,,,,tʰau⁴²,,,,,,,,,,,,,,,aʔ³,,,,,niʔ⁵,,siŋ⁴²,tiʔ⁵,,,tsʰeiʔ⁵,,,,,,,,,sieʔ⁵,heiʔ³,suŋ⁴²,tsʰuʔ³,,,,,loŋ²⁴²,puoŋ²⁴²,,,,kaŋ⁴⁴,,,,,,,,,møyʔ⁵,,,tyʔ³,,,pʰuŋ⁴⁴,,,,,puʔ³,,løʔ⁵,toŋ⁴²,laŋ²⁴²,,,,,,,nyoʔ⁵,tsʰiaŋ⁴⁴,,,,,tiaŋ³¹,,,
pingnan,tsie⁴⁴,,,,,pui²²,tsuoi³¹,tsy⁴⁴,,,sɛ²¹³,kie⁴⁴,pui⁴⁴,,pʰu²²,ŋu²²,tsʰiu³¹,tsʰieu⁵⁴⁵,ku⁴⁴,,,muɔ⁵⁴⁵,,huo²¹³,tsʰuo⁵⁴⁵,,,,,sia²²,,,,ŋuai³¹,tuai²¹³,,sie²²,,,toi³¹,,,,tʰau²²,,,,,,,,,,,,,,,aʔ⁵,,,,,niʔ³,,siŋ²²,tik³,,,tsʰeiʔ³,,,,,,,,,sieʔ³,heiʔ⁵,suŋ²²,tsʰuʔ⁵,,,,,louŋ²¹³,puoŋ²¹³,,,,kaŋ⁴⁴,,,,,,,,,møʔ³,,,tyʔ⁵,,,pʰuŋ⁴⁴,,,,,puʔ⁵,,løʔ³,touŋ²²,laŋ²¹³,,,,,,,nyoʔ³,tsʰaŋ⁴⁴,,,,,tiaŋ³¹,,,
luoyuan,tsie⁴⁴²,,,,,pui²²¹,tsy²¹,tsy⁴⁴²,,,sɛ²¹³,kie⁴⁴²,pui⁴⁴²,,pʰu²²¹,ŋu²²¹,tsʰiu²¹,tsʰiu³⁵,ku⁴⁴²,,,muo³⁵,,huo²¹³,tsʰuo³⁵,,,,,sia²²¹ / tsʰie²¹³,,,,ŋui²¹,tui²¹³,,sia²²¹,,,tui²¹,,,,tʰau²²¹,,,,,,,,,,,,,,,ak²,,,,,nik⁵,,siŋ²²¹,tik⁵,,,tsʰiek⁵,,,,,,,,,siek⁵,heik²,suŋ²²¹,tsʰuk²,,,,,lɔŋ²¹³,puoŋ²¹³,,,,kaŋ⁴⁴²,,,,,,,,,møk⁵,,,tyk²,,,pʰuŋ⁴⁴²,,,,,puk²,,løyk⁵,toŋ²²¹,laŋ²¹³,,,,,,,nyoʔ⁵,tsʰaŋ⁴⁴²,,,,,tiaŋ²¹,,,
zhouning,tsi⁴⁴,,,,,poi²¹,tsyi⁴²,tsy⁴⁴,,,sɛ²¹³,ki⁴⁴,pui⁴⁴,,pʰo²¹,ŋo²¹,tsʰiu⁴²,tsʰeu²⁴,ku⁴⁴,,,mu²⁴,,hu²¹³,tsʰu²⁴,,,,,tsʰiɛ²¹,,,,uɔ⁴²,tuɔ²¹³,,siɛ²¹,,,tai⁴²,,,,tʰau²¹,,,,,,,,,,,,,,,ak⁵,,,,,nek²,,sɛŋ²¹,tek²,,,tsʰɛk²,,,,,,,,,sieʔ²,hɛk⁵,θun²¹,tsʰot⁵,,,,,lɔn²¹,pun²¹³,,,,kan⁴⁴,,,,,,,,,mik²,,,tøʔ⁵,,,pʰuŋ⁴⁴,,,,,puk⁵,,lœk²,tɔŋ²¹,laŋ²¹³,,,,,,,nyʔ²,tsʰaŋ⁴⁴,,,,,tiaŋ⁴²,,,
chongan,ki⁵³,hei⁵⁵,lei²²,mie³³⁴,tsʰie³³⁴,pou³³⁴,sy³¹,sy⁵³,lou²²,wai²²,lai⁵⁵,kai⁵³,y⁵³,lu²²,wieu²² ,ŋiu³³⁴,siu³¹,tsʰiu⁵⁵,wu³¹,u⁵³,ŋu²² ,mu⁵⁵,tou³³⁴,,tsʰu²²,tau⁵³,mau²²,-,ma³¹,lia²²,tsia²²,ua⁵³,suai⁵³,ŋuai⁵³,tuai⁵⁵,tuai²²,yai³³⁴,ji²²,ŋyai⁵⁵,tui³¹,tsuai⁵³,tiu³³⁴,kieu⁵³,hieu³³⁴,tʰau³¹,sui³³⁴,mau³³⁴,lau³¹,siu²²,xəŋ³³⁴,si⁵³,tsiŋ⁵³,liŋ³³⁴,niŋ³¹,laŋ³¹,oŋ²²,saŋ⁵³,taŋ⁵³,a²⁴,,iŋ⁵³,miŋ⁵⁵,tʰei²⁴,nei⁵³,paiŋ⁵³,seŋ³³⁴,tie⁵³,tsʰaiŋ²²,paiŋ³¹,tsʰie⁵³,kyiŋ⁵³,kʰou²⁴,kaiŋ⁵³,waiŋ³¹,pai²⁴,a²⁴,ŋiŋ³³⁴ / nieŋ³³⁴ ,hi²⁴,jyai⁵³,xuai²⁴,jyiŋ²²,tsʰy²⁴,kou⁵³,kui²⁴,,suiŋ⁵³,suiŋ⁵⁵,piŋ⁵⁵,hui²⁴,tsyiŋ⁵³,ŋy⁵³,xuaiŋ⁵³,suaiŋ²²,syai²⁴,luai⁵³,tsuaiŋ³³⁴,lyaiŋ²²,muaiŋ³¹,puaiŋ²²,məŋ⁵⁵ / maiŋ⁵⁵,mie⁵³,ləŋ³³⁴,tsəŋ³¹,tou²⁴,sy²⁴,nou⁵³,həŋ⁵³,tʰəŋ⁵³,ləŋ²²,nəŋ³³⁴,təŋ⁵⁵,pu²⁴,ku²⁴,su⁵³,toŋ³³⁴,soŋ⁵⁵,so²⁴,to⁵³,lo⁵³,ioŋ³³⁴,jioŋ²²,tsio⁵³,ŋio⁵³,tʰaŋ⁵³,piaŋ³³⁴,tsaŋ³¹,pa⁵³,miaŋ³³⁴,tiaŋ³¹,tsʰia²⁴,xoŋ³³⁴,yiŋ³³⁴
jian'ou,ki⁵⁴,pʰi⁴⁴,ti⁴³,mi²²,tsʰɛ²²,py²²,sy²¹,sy⁵⁴,ty²²,pai²¹,tsai⁴⁴,kai⁵⁴,yɛ²¹,ty⁴³,iu²¹,niu²²,siu²¹,tsʰiu⁴⁴,u²¹,u⁵⁴,ŋu⁴³,,ty²²,xou⁴⁴,tsʰio²²,tau⁵⁴,,pa²²,ma²¹,tsia²¹,tsia²²,ua⁴³,suɛ⁵⁴,uɛ⁴³,tuɛ⁴⁴,tuɛ²²,yɛ²²,ki²¹,ŋyɛ⁴⁴,to²¹,tso⁴⁴,tiau²²,ke⁵⁴,tʰe²²,tsʰau²¹,so²²,miau²²,tsau²¹,siau²²,xoiŋ²²,si⁴⁴ / si⁵⁴,tseŋ⁵⁴,,nieŋ²¹,tsaŋ²¹,oŋ²²,saŋ⁵⁴,taŋ⁵⁴,a³⁵,,iŋ⁵⁴,mieŋ⁴⁴,tsʰi³⁵,ni⁴³,paiŋ⁵⁴,saiŋ²²,tɛ⁴⁴,,paiŋ²¹,,kyeŋ⁵⁴,,kaiŋ⁵⁴,paiŋ²¹,pai³⁵,ɛ³⁵,nieŋ²²,tʰiɛ³⁵,yɛ⁴³,xuai³⁵,yeŋ²¹,tsʰy³⁵,ky⁴⁴,ko³⁵,ko⁴³,soŋ⁵⁴,soŋ⁴⁴,pueŋ⁴⁴,tʰo³⁵,tsyeŋ⁵⁴,ŋyɛ⁴³,xueŋ⁵⁴,sueŋ²¹,suɛ³⁵,tsuɛ⁴³,tsyeŋ²²,tyeŋ⁴³,mueŋ²¹,pueŋ²²,moŋ⁴⁴,mɛ⁴³,loiŋ²²,tsoiŋ²¹,ty³⁵,sy³⁵,ny⁴³,pʰoŋ⁵⁴,tsʰoŋ⁵⁴,toŋ²¹,noŋ⁴⁴,toŋ⁴⁴,pu³⁵,ku³⁵,ly⁴³,,lioŋ⁴³,sɔ³⁵,tɔ⁴⁴,lɔ⁴³,ioŋ²²,ioŋ⁴³,tsiɔ⁴⁴,niɔ⁴³,tsʰaŋ⁵⁴,piaŋ²²,tsaŋ²¹,pa⁴⁴,miaŋ²²,tiaŋ²¹,tsʰia³⁵,xuaŋ²²,yeŋ²¹
shufang,ki⁵³,pʰɔi⁴³,tɔi³²,me³³,tsʰe³³,pø³³,sy²¹,sy⁵³,hy³³ / tø³³ ,pai³¹,,kai⁵³,ye³¹,to³²,iu³¹,niu,siu²¹,tsʰiu⁴³,o³¹,o⁵³,ŋo³²,mɔ⁴³ ,tø³³,xy³²,tsʰiɔ³²,tau⁵³,mau³³,pa³³,ma²¹,tsia³¹,tsia³²,ua⁴³,soe⁵³,ŋoe³¹,toe⁴³,toe³²,ye³³,ki³¹,ŋye⁴³,tui²¹,tsoe⁴³,tiu³³,keu⁵³,heu³³,tʰau²¹,sui³³,mau³³,tsau²¹,siu³²,xyiŋ³³,si⁴³,tsiŋ⁵³,liŋ³³,nieŋ²¹,tsaŋ³¹,oŋ³²,saŋ⁵³,taŋ⁵³,a³⁵,,iŋ⁵³,miŋ⁴³,tʰɔi³⁵,nɔi⁴³,peiŋ⁵³,sioŋ³³,te⁴³,tsʰeiŋ³³,peiŋ²¹,tsʰe⁴³,kyeŋ⁵³,,keiŋ⁵³,peiŋ²¹,pai³⁵,,niŋ³³,hi³⁵,lø⁴³,xoe³⁵,yeŋ³¹,tsʰy³⁵,ky⁴³,kuei³⁵,kuei⁴³,suŋ⁵³,suŋ⁵³,poŋ⁴³,hui⁴³,tsyeŋ⁵³,nye⁴³,xoeŋ⁵³,soeŋ²¹,sø³⁵ ,tsoe⁴³,tsyeŋ³³,toeŋ³²,mɔiŋ²¹ / moeŋ²¹ ,pɔiŋ³²,moŋ⁴³,me⁴³,lyeŋ³³,tsyiŋ²¹,tø³⁵,sy³⁵,nø⁴³,pʰoŋ³²,tʰoŋ⁵³,toŋ³¹,noŋ⁴³,toŋ⁵³,po³⁵,ko³⁵,so⁴³,toŋ³³,soŋ⁵³,sɔ³⁵,tɔ⁴³,lɔ⁴³,ioŋ³³,ioŋ³²,tsiɔ⁴³,ŋiɔ⁴³,tʰaŋ³²,piaŋ³³,tsaŋ²¹,pa⁴³,miaŋ³³,tiaŋ²¹,,xuaŋ³³,
