id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
480	辣		luaʔ⁸	luaʔ⁵	lua⁴	luaʔ⁸	luaʔ⁸	lua⁴	*luaʔ⁸		
481	罰		huat⁸	huat⁸	huaʔ⁸	huak⁸	huak⁸	huak⁸	*huat⁸		
482	糴		tiaʔ⁸	tiaʔ⁸	tia⁴	tiaʔ⁸	tiaʔ⁸	tia⁴	*tiaʔ⁸		
483	兔		tʰɔ⁵	tʰ⁵	⁻⁻⁻	tʰou⁵	tʰou⁵	tʰeu⁵	xtʰou⁵		
484	雨		hɔ⁴	hɔ⁶	hu⁴	hou⁴	hou⁴	hɛu⁴	*hou⁴		
485	□	rainbow	z	kʰiŋ⁴	kʰiŋ0	kʰueŋ¹	kʰeŋ⁴	kʰeŋ⁴	kʰiaŋ¹	*kʰɯŋ⁴	
486	笠		lueʔ⁸	leʔ⁸	le⁴	loiʔ⁸	loiʔ⁸	lɔi⁴	*loiʔ⁸		
487	□	raise (head)	kaʔ⁸	giaʔ⁷	kʰia⁵	⁻⁻⁻	kiaʔ⁸	⁻⁻⁻	xgiaʔ⁷(ʔ)		
488	上		tsʰĩ⁴	tsʰiə⁵	tsŋ⁴	tsiõ⁴	tsiõ⁴	tsiɔ⁴	*tsiõ⁴*tsʰiõ⁴		
489	級		kip⁷-⁴kʰip⁷	kip⁷	kʰeʔ⁷	kʰip⁷	kʰip⁷	kʰip⁷	kip⁷-ʷkʰip⁷		
490	贖		siɔk⁸	siɔk⁸	soʔ⁵	sok⁸	sok⁸	siak⁸	ɤʂiok⁵suɯɪk⁵	-⁴	
491	鼠		tsʰɯ³	tsʰi³	tsʰi³	tsʰɯ³	tsʰu³	tsʰu³	*tsʰuɯ³		
492	坑		kʰĩ¹	kʰɛ¹	kʰã¹	kʰẽ¹	kʰẽ¹	kʰe¹	xkʰɐ¹		
493	讀		tʰak⁵	tʰak⁸	tʰaʔ⁵	tʰak⁸	tʰak⁸	tʰak⁸	*tʰak⁸		
494	真		tsin¹	tsin¹	tseŋ¹	tseŋ¹	tsiŋ¹	tsieŋ¹	*tsin¹		
495	鐮		nui²	liam²	⁻⁻⁻⁻	niam²	liam²	liam²	*liam²*nõĩ²	-⁴	
496	接		tsiʔ⁷	tsiʔ⁷	tsiaʔ⁷	tsiʔ⁷	tsiʔ⁷	tsi⁷	*tsiʔ⁷		
497	認		lin⁵	dzin⁶	leŋ¹	zeŋ⁶	ziŋ⁶	zieŋ¹	*din⁶		
498	紅		aŋ²	aŋ²	aɪᴇ	aŋ²	aŋ²	aŋ²	ɤaŋ²		
499	留		lau²	lau²	lɔ²	lau²	lau²	lau²	*lau²		
500	記		ki⁵	ki⁵	ki⁵	ki⁵	ki⁵	ki⁵	ɤki⁵		
501	徙		sua³	sua³	sua³	sua³	sua³	sua³	*sua³		
502	宅		tʰeʔ⁵	tʰɛʔ⁵	tʰa⁴	tʰeʔ⁸	tʰeʔ⁸	tsai¹	*tʰeʔ⁵		
503	息		sit⁷	sit⁷	seʔ⁷	sek⁷	sek⁷	sik⁷	*set⁷		
504	糜		bə²	bãii²	mŋ²	mue²	mue²⁴	muɛ²	ɤmuø²		
505	米		bi³	bi³	bi³	bi³	bi³	bi³	*bi³		
506	粙		tiu⁴	tiu⁶	ɐɐ⁵ɐ	tiu⁴	tiu⁴	tiu⁴	*tiu⁴		
507	秧		ŋ	ŋ	ŋ¹	ŋ	ŋ	iɔ¹	xŋ¹		
508	飲		am³	am³	aŋ³	am³	am³	am³	*.	am³	
509	餜		kə³	kue⁸	kue⁵	kue²	kue²	kɔ³	ɤ*kuø³		
510	騎		kʰa²	kʰia²	kʰi²	kʰia²	kʰia²	kʰia²	ɤkʰia²		
511	著		tioʔ⁸	tioʔ⁵	tʰiɤ⁴	tioʔ	tioʔ	tiɔ⁴	*tioʔ⁶		
512	癬		sian³	sian³	siaŋ⁹	siaŋ⁹	siaŋ⁷	tsʰua³	⁴tsʰuã³⁻⁴*sian³		
513	□	einse mouth	lɔk⁸	ʃəɨʉ̃	r⁻⁵⁻⁵	⁻ɐᴇɤ⁵	fl	lɔŋ⁴	*lɔk⁵	(?)	
514	溪		kʰue¹	kʰe¹	kʰe¹	kʰoi¹	kʰoi¹	kʰɔi¹	ɤkʰoi¹		
515	路		lɔ⁵	lɔ⁶	lu¹	lou⁶	lou⁶	lɛu¹	*lou⁶		
516	賊		tsʰat⁸⁵	tsʰat⁸	tsʰaʔ0	tsʰak⁸	tsʰak⁸	tsʰak⁸	⁴tsʰat⁸		
517	□	roll up (sleeves)	piʔ	piʔ̃	pp⁵	⁻⁻̃	⁻ɪ̃	⁻⁻̃	ɤpiʔ		
518	根		kun¹	kin¹	keŋ¹	keŋ¹	kiŋ¹	kieŋ¹	ɤ*kɯn¹		
519	索		soʔ⁷	soʔ⁷	sɤ⁵	soʔ⁷	soʔ⁷	sɔ⁷	ɤ*ʂoʔ⁷		
520	圓		ɤ²	ɤ²	mŋ¹	ɪ̃	ɤ²	i²	xɿ²		
521	挲		so¹	so¹	ɐᴇᴇɐ	so¹	so¹	sɔ¹	*so¹		
522	舵		tua⁴	tua⁶	tɔ²	tua⁴	tua⁴	tua⁴	*tua⁴		
523	尺		tsʰioʔ⁷	tsʰioʔ⁷	tsʰɤ⁵	tsʰioʔ⁷	tsʰioʔ⁷	tsʰiɔ⁷	³ʻtsʰioʔ⁷		
524	走		tsau³	tsau³	tsɔ³	tsau³	tsau³	tsau³	*tsau³		
525	□	run over	0	kʰueʔ⁷	kʰeʔ⁷	⁻⁻⁻⁻	kʰoiʔ⁷	kʰoiʔ⁷	⁻⁻⁻	ɤkʰoiʔ⁷	
526	伊		it	it	i³	it	it	it	ɤj¹		
527	篷		pʰaŋ̃	pʰaŋ²	pʰaŋ0	pʰaŋ²	pʰaŋ²	pʰaŋ²	ʷpʰaɪ²		
528	瀾		nuã⁴	luã⁶	nuã⁴	nua⁴	nua⁴	nua⁴	*nuã⁴		
529	鹽		iam²	iam²	iaŋ²	iam²	iam²	iam²	*iam²		
530	鹽		sĩ⁵	si⁶	siŋ⁵	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	ɤʂĩ⁶		
531	鹹		kiam²	kiam²	kiaŋ²	kiam²	kiam²	kiam²	*kiam²		
532	沙		sua¹	sua¹	sua¹	sua¹	sua¹	sua¹	*sua¹		
533	鋸		kɯ⁵	ki⁵	ki⁵	kɯ⁵	ku⁵	ku⁵	ɤ*kɯ⁵		
534	疕		pʰi	pʰi¹	pʰi⁵	pʰi	pʰi	pʰi	ɤpʰi⁵		
535	燙		⁻⁻⁻	tʰŋ⁵	⁻⁻⁻	tʰɯŋ⁵	tʰɯŋ⁵	tʰɔ⁵	xtʰõ⁵		
536	鱗		lan²	lan²	leŋ²	laŋ²	laŋ²	laŋ²	*lan²		
537	罵		ma⁵	bɐ̃⁶	mã⁵	me⁶	me⁶	mɛ¹	ɤmẽ⁶	(ʔ)	
538	刮		kuaʔ⁷	kuaʔ⁷	kue⁵	kueʔ⁷	kueʔ⁷¹	kuɛ⁷	*kueʔ⁷		
539	海		hai³	hai³	hɛ³	hai³	hai²	hai²	*hai²		
540	□	search	il	tsʰə⁵	tsʰue⁶	tsʰue⁵	tsʰue⁶	tsʰue⁶	tuɛ⁵	*tsʰuø⁶	
541	墟		hɯ¹	hi¹	hi¹	hɯ¹	hu¹	⁻⁻⁻	*hɯ¹		
542	(第)二		li⁵	dzi⁶	li¹	zi⁴	zi⁴	zi¹	xdi⁶		
543	看		kʰuã⁵	kʰuã⁵	kʰuã̃	⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	ʷkʰuã⁵	(ʔ)	
544	睇		⁻⁻	⁻̃	⁻ɪ̃	tʰ̃̃	tʰɵi⁸	⁻⁻⁻	*tʰəi³(ɔ)		
576	六		lak⁸	lak⁸	laʔ⁸	lek⁸	lak⁸	lak⁸	*lak³⁻⁴*lɯk⁵		
577	皮		pʰə²	pʰue²	pʰue²	pʰue²	pʰueʔ	pʰue²	ʷpʰuø²		
578	裙		kun²	kun²	kueŋ²	kuŋ²	kuŋ²	kuŋ²	ɤ*kun²		
579	天		tʰi¹	tʰi¹	tʰiŋ¹	tʰi¹	tʰi¹	tʰi¹	xtʰi¹		
580	□	slant	-	kʰi¹	kʰi¹	----	kʰi¹	kʰi¹	kʰi¹	ɤkʰi¹	
581	䘼		ŋ²	ui³	mŋ³	ŋ²	ŋ²	ui³	ɤʅii³		
582	□	slice (of melon)	z	tə⁵	te⁵	te⁵	⁻⁻⁻⁻	⁻⁻⁻⁻	tɛ⁵	*tø⁵	
583	□	slim	g	san²	san³	saŋ³	saŋ³	saŋ³	saŋ³	ɤsʂan³	
584	崩		pəŋ¹	paŋ	paŋ⁴	paŋ	paŋ⁴	paŋ	ɤpaŋ		
585	滑		kut⁸	kut⁸	koʔ⁸	kuk⁸	huk⁸	kut⁸	*kut⁵		
586	慢		ban⁵	ban⁶	baŋ¹	maŋ⁶	maŋ⁶	maŋ⁴	ɤ*man⁶		
587	細		sue⁵	se⁵	se⁵	soi⁵	soi⁵	sɔi⁵	*soi⁵		
588	罐		kuan⁵	kuan⁵	kuaŋ⁵	kuaŋ⁵	kuaŋ⁵	kuaŋ⁵	*kuan⁵		
589	味		bi⁵	bi⁶	bi¹	bi⁶	⁻⁻⁻⁻	bi¹	*bi⁶		
590	鼻		pʰi⁵	pʰi⁶	pʰi¹	pʰi⁶	pʰi⁶	pʰi¹	ɤpʰi⁶--ɤpʰi⁶		
591	臊		tsʰo¹	tsʰo¹	tsʰɤ¹	tsʰo¹	tsʰo¹	ɕɐɐ	*tsʰo¹		
592	臭		tsʰau⁵	tsʰau⁵	tsʰiɔ⁵	tsʰau⁵	tsʰau⁵	tsʰiau⁵	³ʻtsʰau⁵⁻⁻*tsʰiau⁵		
593	薰		hun¹	hun¹	hueŋ¹	huŋ¹	huŋ¹	huŋ¹	*hun¹		
594	熨		ut⁷	ut⁷	⁻⁻⁻⁻	uk̃⁷	uk̃⁷	⁻⁻⁻⁻	*ut⁷		
595	螺		lə²	le²	lue²	lo²	lo²	lɛ²	*lø²		
596	蛇		tsua²	tsua²	tsua²	tsua²	tsua²	tsua²	*tsua²		
597	雪		səʔ⁷	seʔ⁷	sue⁵	soʔ⁷	soʔ⁷	sɔi⁷	*ʂøʔ⁷		
598	襪		bəʔ⁵	bueʔ⁵	bue⁴	bueʔ⁵	ɡueʔ⁵	bak⁸	*buøʔ⁵		
599	軟		lŋ³	luĩ³	nuŋ³	nɯŋ³	nuɯɪŋ³	nui³	*nuiĩ³		
600	囝		kã³	kiã³	kiã³	kiã³	kiã³	kia³	*kiã³		
601	歌		kua¹	kua¹	kə¹	kua¹	kua¹	kua¹	*kua¹		
602	婿		sai⁵	sai⁵	sɛ⁵	sai⁵	sai⁵	si⁵	*sai⁵		
603	音		im¹	im¹	eŋ⁵	im¹	im¹	im¹	ɤʷim¹		
604	酸		sŋ¹	sui¹	suŋ¹	sɯŋ¹	sɯŋ¹	sui¹	*suĩ¹		
605	南		lam²	lam²	laŋ²	nam²	nam²	nam²	*nam²		
606	□	sparse (of congee)	d	ka⁵	ka⁵	̃̃	ka⁵	k̃̃̃	tɦ̃̃̃	*ka⁵	
607	呾		⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	tã⁵	tã⁵	⁻⁻⁻⁻	*tã⁵		
608	說		səʔ⁷	sueʔ⁷	sue⁵	sueʔ⁷	sueʔ⁷	suɛ⁷	*suø⁴ʔ⁷		
609	講		kaŋ²	kɔŋ⁹	kŋ³	⁻⁻⁻	⁻⁻⁻	kɔ³	ɤ*koŋ³(ʔ)		
610	噴		pʰun⁵	pʰun⁵	pʰueŋ̃	pʰuŋ⁵	pʰuŋ⁵0	pʰuŋ⁵	⁴pʰun⁵		
611	篾		biʔ⁸	biʔ⁸	bi⁴	biʔ⁸	biʔ⁸	mi⁴	*miʔ⁸		
612	舒		tsʰɯ¹	tsʰi¹	su¹	tsʰɯ¹	tsʰu¹	si¹	*tsʰuɯ¹		
613	春		tsʰun¹	tsʰun¹	tsʰueŋ¹	tsʰuŋ⁴	tsʰuŋ¹	tsʰuŋ¹	*tsʰun¹		
614	□	sprinkle	hi⁵	hiu⁵⁵	huŋ⁹0	mɦi⁹	hĩ	hi⁵	*hiu⁵(?) ʷɦĩ⁵		
615	發		puʔ⁷	puʔ⁷	pue⁵	huak⁷	huak⁷	pu⁷	ɤ*puʔ⁷(ʔ)		
616	跍		kʰu²	kʰu²	kʰu²	kʰu²	kʰu²	mɐɐ⁵	kʰu²		
617	疊		tʰaʔ⁵	tʰaʔ⁵	tʰa⁴	tʰaʔ⁵	tʰaʔ⁵	tʰa⁴	*tʰaʔ⁵		
618	蒂		ti⁵	ti⁵	ti⁵	tiʔ⁷	tiʔ⁷	ti⁷	ɬtʃ⁵⁻⁴xtiʔ⁷		
619	徛		kʰa⁴	kʰia⁶	kʰia⁴	kʰia⁴	kʰia⁴	kʰia⁴	*kʰia⁴		
620	星		tsʰi¹	tsʰɛ¹	tsʰã¹	tsʰẽ¹	tsʰɐ¹	tsʰe¹	*tsʰɐ¹		
621	偷		tʰau¹	tʰau¹	tʰɔ¹	tʰau¹	tʰau¹	tʰau¹	*tʰau¹		
622	蒸		tsiŋ¹	tsiŋ⁴	tseŋ¹	tseŋ¹	tseŋ¹	tsiŋ¹	*tsiŋ¹		
623	秤		tsʰin⁵	tsʰin⁵	tsʰeŋ⁵	tsʰeŋ⁵	tsʰiŋ0	tsʰieŋ⁵	*ʻtsʰin⁵		
624	徛		kia⁴	kia⁶	kʰia⁵	kia⁴	kia⁴	⁻⁻⁻	*kia⁴		
625	踏		taʔ⁸	taʔ⁸	ta⁴	taʔ⁸	taʔ⁷	ta⁴	*taʔ⁶		
626	□	stir	z	la⁴	la⁶	la⁴	la⁴	la³	ɐɐᴇ	*la⁴	
627	石		tsioʔ⁵	tsioʔ⁵	tsɤ⁴	tsioʔ0	tsioʔ⁵	tsiɔ⁴	*tsioʔ⁸		
628	窒		tʰat⁷	tʰat⁷	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	tʰak⁷	*tʰat⁷		
629	直		tit⁸	tit⁸	teʔ⁵	tek⁸	tik⁸	tiek⁸	*tit⁸		
630	蓆		tsʰioʔ⁸	tsʰioʔ⁸	tsʰɤ⁴	tsʰioʔ⁸	tsʰioʔ⁵	tsʰiɔ⁴	ɤtsʰioʔ⁸		
631	街		kue¹	ke¹	ke¹	koi¹	koi¹	kɔi¹	ɤ*koi¹		
632	伸		tsʰŋ¹	tsʰun¹	tsʰuŋ¹	tsʰuŋ⁴	tsʰuŋ¹	tsʰuŋ¹	⁴tsʰun¹		
633	伐		huaʔ⁵	huaʔ⁵	⁻⁻⁻⁻	huaʔ⁵	huaʔ⁵	hua⁴	*huaʔ⁵		
634	□	strike (a match)	il	⁻⁻⁻	⁻⁻⁻	⁻⁻⁻	ueʔ⁸	⁻⁻⁻	uɛ²	ɤueʔ⁸	
635	拍		pʰaʔ¹	pʰaʔ⁷	pʰaʔ⁷	pʰaʔ⁷	pʰaʔ	pʰa⁷	xpʰak⁷		
636	□	strike a fire	0]	kʰia⁷	kʰia⁷	⁻⁻⁻⁵	kʰiak¹	⁻⁻⁻	⁻⁻	*kʰiat⁷	
637	糖		tʰŋ²	tʰŋ⁷	tʰŋ²	tʰɯŋ⁴	tʰɯŋ²	tʰɔ²	xtʰõ²		
638	□	sultry	z	hip⁷	hŋ̃ᴇ	⁵⁵⁵	hip⁷	hip⁷	ip⁷	*hip⁷	
639	夏		he⁵	hɛ⁶	ha¹	he⁶	he⁶	hɛ¹	*he⁶		
640	熱頭		lit⁸tʰau²	dzit⁵tʰau²	leʔ⁸tʰɔ²	zek⁸tʰau²	zik⁸tʰau²	ziek⁵tʰau²	*dit⁵tʰau²		
641	剩		sin⁵	sin⁶	⁻⁻⁻⁻	seŋ⁶	seŋŋ²	siŋ⁴	*sen⁶		
642	液		sioʔ⁸	sioʔ⁵	siɤ⁴	sioʔ⁸	sioʔ⁸	zɛ⁴	*sioʔ⁸		
643	泅		siu²	siu²	siu²	siu²	siu²	siu²	*siu²		
644	桌		toʔ⁷	toʔ⁷	tɤ⁵	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	ɤtoʔ⁷		
645	床		⁻⁻⁻	⁻⁻⁻⁻	tɤ⁵tsʰŋ²	tsʰɯŋ²	tsʰɯŋ²	tsʰɔ²	*tsʰõ²		
646	□	tadpole	zd	mmɪ	kuai¹	⁻⁻⁻⁻	kuai¹	mʰɤᴇ	kui¹	ɤ*kuai¹	
647	尾		bə³	bue³	bue³	bue³	bue³	buɛ²	*buø³		
648	褪		tʰŋ⁵	tʰui⁵	⁻⁻⁻⁻	tʰɯŋ⁵	tʰɯŋ⁵	tʰui⁵	xtʰuĩ⁵		
649	娶		tsʰua⁵	tsʰua⁶	tsʰua⁵	tsʰua⁶	tsʰua⁶	⁻⁻⁻⁻	*tsʰua⁶		
650	懸		kuiĩ²	kuãi²	kuŋ²	kuiĩ²	kuãi⁴²	kuai²	*kuoi²		
651	乖		kuai¹	kuai¹	kuɛ¹	kuai¹	kuai¹	kuai¹	*kuai¹		
652	芋		ɤ⁵	ø⁵	u¹	ou⁶	ou⁶	ɛu¹	*ou⁶		
653	稅		sə⁵	sue⁵	sue⁵	sue⁵	sue⁵	suɛ⁵	*suø⁵		
654	茶		te²	tɛ²	ta²	te²	te²	tɛ²	*te²		
655	教		ka⁵	ka⁵	ka⁵	ka⁵	ka⁵	ka⁵	*ka⁵		
656	鬧熱		lau⁵liat⁸	lau⁶dziat⁸	lɔ¹ziak⁸		lau⁶ziaʔ⁸	lau⁶ziak⁸	nau¹ziek⁸	*nau⁶diat⁸	
657	廟		bio⁵	bio⁶	biɤ¹	bio⁶	bio⁴	miau⁴	*bio⁶		
658	十		tsap⁸	tsap⁸	tsaʔ⁵	tsap⁸	tsap⁸	tsap⁸	*tsap⁸		
659	萬		ban⁵	ban⁶	baŋ¹	buaŋ⁶	buaŋ⁶	baŋ¹	*ban⁶		
660	筋		kun¹	kin¹	keŋ¹	keŋ¹	kiŋ¹	kieŋ¹	ɬ*kɯn¹		
661	謝		sia⁵	sia⁶	sia¹	sia⁶	sia⁶	sia¹	*sia⁶		
662	許		hit⁷	hit⁷	hi³	hɯ³	hi³	⁻⁻⁻	*hɯ̃		
663	茅		bau²	hm²m²	-	hŋ²	mau²	mau²	mau²	ɤ*mhau²	
664	[伊儂]		in¹	in¹	-⁻--	i¹	naŋ⁴	iŋ¹	i¹	naŋ⁹	*i¹
665	厚		kau⁴	kau⁶	kɔ⁴	kau⁴	kau⁴	kau⁴	*kau⁴		
666	洘		kʰo³	kʰoʔ⁷	kʰɤ³	⁻⁻⁻⁻	⁻⁻⁻⁻	kʰɔ³	ʷkʰo³		
667	□	this	ȵᴇɐᴇ	ɐɕ̃̃̃	̃̃	kek⁸	kik⁸	kiek⁸	*kit⁸		
668	枋		paŋt	paŋ	paŋ	paŋ	paŋ	⁻̃̃	ʷpaŋ¹		
669	板		ɐən⁹	pan0	pəŋ	pã⁹	pɔi³	pa¹³	⁴pəm⁻ʻpõi		
670	薄		poʔ⁸	poʔ⁵	pɤ⁴	poʔ⁸	poʔ⁸	pɔ⁴	ɤ*poʔ⁸		
671	想		siuĩ³	siɒ̃³	siŋ⁴	siõ⁴	sio⁴	siɔ⁴	ɤʂiõ³⁴*siõ⁴		
672	只		tsit⁷	tsit⁷	tsi³	tsi³	tsi³	⁻⁻⁻	*tsi³		
673	千		tsʰui¹	tsʰiŋ¹	tsʰiŋ0	tsʰãi¹	tsʰãi¹	tsʰai¹	*tsʰõi¹		
674	線		suã⁵	suʑ̃̃	suã⁵	suã⁵	suã⁵	sua⁵	*suã⁵		
675	三		sã¹	sã	sã¹	sã	sã¹	sa¹	*sã¹		
676	嚨		nã²	lã²	⁻⁻⁻⁻	⁻⁻⁻	leŋ²	liaŋ²	ɤ*nã²⁻⁻lɯŋ²		
677	□	throw down	sak⁷	siak⁷	saʔ⁷	sek⁷	sek⁷	siak⁷	*sak⁷⁻⁻*ʂuɪk⁷		
678	雷		luĩ²	lui²	lui²	lui²	lui²	lui²	*lui²		
679	□	tickle	il	ŋiãu¹	iãu¹	⁻⁻⁻⁻	niau¹	niau¹	*ŋiau¹⁻⁻*niau¹	⁻⁻⁻	
680	結		kat⁷	kat⁷	kaʔ⁷	kak⁷	kak⁷	kiek⁷	*kat⁷		
681	縛		pak⁸	pak⁸	pa⁴ʔ	pak⁸	pak⁸	pak⁸	*pak⁸		
682	q虎		hɔ³	hɔ³	hu³	hõu³	hou³	hɛu³	*hou³		
683	緪		an²	an²	aɪʔ	aŋ²	-⁻--	aŋ²	ɤ*an²		
684	瓦		hia⁴	hia⁶	bua⁴	hia⁴	hia⁴	hia⁴	*hia⁴		
685	舌		tsiʔ⁸	tsiʔ⁵	sua⁴	tsiʔ⁸	tsiʔ⁸	tsi⁴	*tsiʔ⁶		
686	齒		kʰi⁵	kʰi³	kʰi³	kʰi²	kʰi²	kʰi⁸	ɤkʰi²		
687	龜		ku¹	ku¹	kui¹	ku¹	ku¹	ku¹	*ku¹		
688	犯		huan⁴	huan⁶	haŋ⁴	huaŋ⁴	huam⁴	baŋ⁴	ɤ*huam⁴		
689	樹		tsʰiu⁵	tsʰiu⁶	tsʰu⁵	tsʰiu⁶	tsʰiu⁶	tsʰiu¹	tsiu⁶		
690	褲		kʰɔ⁵	kʰɔ⁵	kʰu⁵	kʰou⁵	kʰou⁵	kʰɛu⁵	*kʰou⁵		
691	栱		kɔŋ³	kɔŋ³	⁻⁻⁻̃	koŋ³	⁻⁻⁻	⁻⁻⁻	*koŋ³		
692	楔		sueʔ⁷	seʔ⁷	se⁵	soiʔ⁷	soiʔ⁷	⁻⁻⁻	*soiʔ⁷		
693	醪		lo²	lo²	⁻⁻⁻⁻	lo²	lo²	⁻⁻⁻	*lo²		
694	濁		tsɔk⁸	tsɔk⁸	tsoʔ⁵	tsuak⁸	tsuak⁸	tsuak⁸	³tsuok⁸		
695	轉		tŋ³	tuĩ³	tuŋ³	tɯŋ³	tɯŋ³	tui³	*tuiĩ³		
696	反		puĩ³	pan³	piŋ⁴	pãi³	pãi³	pai³	*	põi³	
697	旋		tsun⁴	tsun⁶	tsueŋ⁴	tsuŋ⁴	tsuŋ⁴	⁻⁻⁻⁻	*tsun⁴		
698	兩		nŋ⁴	lɔ̃⁶	nŋ²	no⁴	no⁴	nɔ⁴	ɤ*nõ⁴		
699	傘		suã⁵	suʑ̃̃	suã⁵	⁻⁻⁻	⁻⁻⁻⁻	sua⁵	*suã⁵		
700	遮		⁻⁻⁻⁻	⁻⁻⁻	⁻⁻⁻⁻	tsia¹	tsia¹	tsia¹	*tsia¹		
701	生		tsʰi¹	tsʰɛ¹	tsʰã¹	tsʰẽ¹	tsʰɐ¹	tsʰe¹	*tsʰɐ̃¹		
702	□	understand	pat⁷	pat⁷	paʔ⁷	pak⁷	pak⁷	pak⁷	*	pat⁷	
703	升		tsin¹	tsin¹	seŋ¹	seŋ¹	seŋ¹	siŋ¹	*tsen¹		
704	敨		tʰau³	tʰau³	tʰɔ³	tʰau³	tʰau³	⁻⁻⁻	*tʰau³		
705	尿		lio⁵	dzio⁶	liɤ¹	zio⁶	zio⁶	ziɔ¹	*dio⁶		
706	□	use something to reach higher	0	kə³	kue³	⁻⁻⁻⁻	kue³	kue³	⁻⁻⁻⁻	*kuø³	
707	瓶		pan²	pan⁹²	paŋ⁷	paŋ⁰	paŋ⁷	paŋ⁷	pan²		
708	菜		tsʰai⁵	tsʰai⁵	tsʰɛ⁵	tsʰai⁵	tsʰai⁵	tsʰai⁵	⁴tsʰai⁵		
709	吐		tʰɔ⁵	tʰɔ	tʰʊ⁵	tʰou⁵	tʰou⁵	⁻⁻⁻	*tʰou⁵		
710	腰		io¹	io¹	iɤ¹	io¹	io¹	iɔ⁴	*io¹		
711	行		kiã²	kiã²	kiã²	kiã²	kiã²	kia²	*kiã²		
712	裘		hiu²	hiu²	hiu²	⁻⁻⁻⁻	hiũ²	⁻⁻⁻⁻	*hiu²		
713	洗		sue²	se²	se³	soi³	soi³	sɔi³	ɤsoi³		
714	水		tsui³	tsui³	tsi³	tsui³	tsui³	tsui²	*tsui³		
715	沃		ak⁷	ak⁷	aʔ⁷	ok⁷	ak⁷	ak⁷	*ak⁷		
716	潘		pʰun¹	pʰun¹	pʰueŋ⁷	pʰuŋ¹	pʰuŋ¹	pʰuŋ¹	ʷpʰun¹		
717	蓮		nui²	lian²	liaŋ²	naĩ²	noi²	lieŋ²	*lian²*nõi²	-⁴	
718	湧		iŋ³	iŋ³	ioŋ³	eŋ³	eŋ³	iaŋ³	ɤ*ɯŋ³		
719	□	wave (v.)	r	iat⁸	iat⁸	iaʔ	iaʔ⁵	iaʔ⁵	iek⁸	*iat⁸	
720	[我儂]		gun³	gun³	⁻⁻⁻⁻	uaŋ³	uaŋ²	ɐɐᴇɐ	ɤgua³naŋ²		
721	頌		tsʰiŋ0	tsʰiŋ⁰	tsoŋ¹	tsʰeŋ⁶	tsʰeŋ⁵	tsʰiaŋ¹	⁵ʻtsʰɯŋ⁸		
722	啼		tʰi²	tʰi²	tʰi²	tʰi²	tʰi²	tʰi²	xtʰi²		
723	井		tsĩ²	tsẽ³	tsã³	tsẽ³	tsẽ³	tsɛ³	ɤtsẽ³		
724	乜		mĩʔ⁷	bĩ¹	ɐɐᴇᴇ	meʔ⁷	miʔ⁷	mi⁷	*miʔ⁷		
725	白		pe⁴ʔ⁸	pɛʔ⁵	pa⁴	pe⁴ʔ⁸	peʔ⁵	pɐ⁴	*peʔ⁸		
726	闊		kʰuaʔ⁷	kʰuaʔ⁷	kʰua⁵	kʰuaʔ⁷	kʰuaʔ⁷	kʰua⁷	ʷkʰuaʔ⁷		
727	某		bɔ³	bɔ³	⁻⁻⁻	bou³	bou³	⁻⁻⁻	*bou³		
728	風		huaŋ¹	hɔŋ¹	hoŋ¹	huaŋ¹	huaŋ¹	huaŋ¹	ɤhuoŋ¹		
729	逆(風)		giak⁸	ɡik⁸	ziaʔ⁵	ŋek⁸	ŋek⁸	ŋek⁸	*ŋik⁸		
730	彎		uan¹	uan¹	uaŋ¹	uaŋ¹	uaŋ¹	uaŋ¹	*uan¹		
731	窗		tʰaŋ	tʰaŋ	tʰɔ¹	tʰeŋ¹	tʰeŋ¹	tʰiaŋ0	⁴tʰeŋ¹⁻⁴ xtʰɯŋ¹		
732	酒		tsiu³	tsiu³	tsiu³	tsiu³	tsiu³	tsiu³	*tsiu³		
733	翼		sit⁸	sit⁸	seʔ⁸	sek⁸	sik⁸	siek⁸	ɤʂip⁸⁴*sit⁸		
734	簸		pua⁵	pua⁵	pua⁵	pua⁵	pua⁵	pua⁵	*pua⁵		
735	冬		taŋ¹	taŋ¹	taŋ¹	taŋ¹	taŋ¹	taŋ¹	*taŋ¹		
736	拭		tsʰit⁷	tsʰit¹	⁻⁻⁻⁻	tsʰek⁷	tsʰik⁷	tsʰiek⁷	tsʰit⁷		
737	退		tʰə⁵	tʰe⁵	tʰue⁵	tʰo⁵	tʰo⁵	tʰɛ⁵	*tʰø⁵		
738	妙		biau⁵	biau⁶	biɔ¹	miau⁴	miau⁴	miau³	*miau⁶		
739	木		bak⁵	bak⁸	boʔ⁸	bak⁵	bak⁵	mɔk⁸	ʷmak⁸		
740	工		kaŋ¹	kaŋ¹	kaŋ¹	kaŋ¹	kaŋ¹	kaŋ¹	*kaŋ¹		
741	包		pau¹	pau¹	pɔ¹	pau¹	pau¹	pau¹	*pau¹		
