id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
128	來		lai²	lai²	lɛ²	lai²	lai²	lai²	*lai²		
129	爽		sɔŋŋ²	sɔŋ⁹	suaŋ⁹	suaŋ⁹	suaŋ0	suaŋ³	*suoŋ³		
130	怨		uan⁵	uan⁵	⁻⁻⁻⁻	uaŋ⁵	uaŋ⁵	uaŋ⁵	*uan⁵		
131	□	concave (1)	nãʔ⁷	li	kai	ɤʰᴇ⁴	naʔ⁷	ɕᴇ⁴	ɤ*naʔ⁷		
132	塌	concave (2)	⁻⁻⁻	0	tʰaʔ⁷	tʰap⁷	tʰap⁷	tʰap⁷	⁴tʰap⁷		
133	囥		kʰŋ⁵	kʰŋ̃	kʰɪ⁵	kʰɯŋ⁵	kʰɯŋ⁹	kɔ⁵	ɤkʰɕ̃⁵		
134	亂		luan⁵	luan⁶	luaŋ¹	luaŋ⁴	luaŋ⁴	luaŋ⁷	luan⁶ ɤ*nuii⁶	⁴	
135	續		siɔk⁸	siɔk⁸	soʔ⁸	sok⁸	sok⁸	sɔk⁸	ɤsʂiok⁸		
136	吐		ɐɔ³	tʰɔ	⁻⁻⁻	tʰou³	tʰou³	⁻⁻⁻	*tʰou³		
137	煮		tsɯ⁸	tsi³	tsi³	tsɯ³	tsu³	tsu³	*tsɯ³		
138	熟		siak⁸	sik⁸	⁻⁻⁻	sek⁸	sek⁸	siak⁸	ɤ*sɯk⁸		
139	飯		pŋ⁵	pui⁶	pŋ⁴	puŋ⁵	puɪŋ⁰	pui¹	ɤpui⁶		
140	銅		taŋ²	taŋ⁴	taŋ²	taŋ²	taŋ²	taŋ²	*taŋ²		
141	屍		si¹	si¹	si¹	si¹	si¹	si¹	*si¹		
142	正		tsiã⁵	tsiã̃	tsã⁵	tsiã⁵	tsiã⁵	tsia⁵	*tsiã⁵		
143	改		kue³	ke³	kɛ³	koi³	koi³	kɔi³	*koi		
144	棉		mii²	b̃̃²	miŋ²	mi²	mi²	mi²	*mii²		
145	國		kɔk⁷	kɔk⁷	koʔ⁷	kok⁷	kok⁷	kuek⁷	*kok⁷		
146	縣		kui⁵	kuãi⁶	kuŋ¹	kui⁶	kuãi⁶	kuai¹	ɤ*kuõi⁶		
147	□	cover (v.)	kʰam⁵	kʰam⁵	kaŋ⁹	kʰãi⁵	kʰãi⁵	pȵɐᴇ⁵	ɤkʰam⁵⁻ʻkʰõi⁵		
148	罩		tau⁵	ta⁵	tɔ⁵	tsau⁴	tsau⁴	tsau⁴	*ta⁵⁻⁻*tau⁵⁻ʷ *tsau⁴		
149	牛		ɡu²	gu²	gu²	gu²	gu²	ŋu²	ɤɪɯ²		
150	蟹		hue⁴	he⁶	he⁴	hoi⁴	hoi⁴	hoi⁴	*hoi⁴		
151	縫		pʰaŋ0	pʰaŋ⁵	pʰaŋ0	pʰaŋ⁹	pʰaŋ⁵	pʰaŋ¹	*pʰaŋ⁶		
152	必		pit⁷	pit⁷	peʔ⁷	pek⁷	pik⁷	⁻⁻⁻	pit⁷	*	
153	匠		tsʰit̃⁵	tsʰiə⁵	tsʰiŋ0	tsiaŋ⁴	tsʰi⁵	tsʰiɔ0	*tsʰiõ⁶		
154	爬		pe²	pɛ²	pa²	pe²	pe²	pɛ²	*pe²		
155	酥		sɔ¹	sɔ¹	⁻⁻⁻⁻	sou¹	sou¹	⁻⁻⁻	*sou¹		
156	渡		tɔ⁵	tɔ⁶	tu¹	tou⁶	tou⁶	tɛu¹	*tou⁶		
157	鯽		tsit⁸	tsit⁸	tsiaʔ⁷	tsek⁷	tsik⁷	tsiek⁷	*tsit⁷(ʔ)		
158	□	cry	kʰau⁵	kʰau⁵	⁻⁻⁻⁻	kʰau⁵	kʰau⁵	kʰau⁵	*kʰau⁵		
159	杯		pue¹	pue¹	pue¹	pue¹	pue¹	puɛ¹	*pue¹		
160	櫥		tu²	tu²	tu²	tu²	tu²	⁻n⁻	ɤtu²		
161	鉸		ka¹	ka¹	⁻⁻⁻⁻	ka¹	ka¹	ka¹	*ka¹		
162	剃		tʰiʔ⁷	tʰi⁵	ɐɐ̃	tʰi⁵	ɐɐ̃	tʰi⁵	ɤt⁴ᴇ̃		
163	割		kuaʔ⁷	kuaʔ⁷	kua⁵	kuaʔ⁷	kuaʔ⁷	kua⁷	*kuaʔ⁷		
164	劈		pʰiak⁷	pʰik⁷	pʰiaʔ⁷	pʰek⁷	pʰek⁷	pʰik⁷	ʷpʰik⁷		
165	□	damp (1)	tam²	tam²	taŋ²	tam²	tam²	tam²	*tam²		
166	濕	damp (2)	sip⁷	sip⁷	seʔ⁷	sip⁷	sip⁷	sip⁷	*sip⁷		
167	敢		kã³	kã³	kã	kã³	kã³	ka³	ɤkã		
168	暗		am⁵	am⁵	aɪŋ	am⁵	am⁵	am⁵	*am⁵		
169	□	dash water (on person)	tsaŋ⁴	tsaŋ⁴	⁻⁻⁻⁻	tsaŋ²	tsaŋ²	⁻⁻⁻⁻	*tsaŋ²		
170	日		lit⁸	dzit⁸	leʔ⁸	zek⁸	zik⁸	ziek⁸	*dit⁸		
171	聾		laŋ²	laŋ⁴	laŋ²	laŋ²	laŋ²	laŋ²	*laŋ²		
172	深		tsʰim¹	tsʰim¹	tsʰeŋ¹	tsʰim¹	tsʰim¹	tsʰim¹	⁴tsʰim¹		
